InvoiceID_sk,InvoiceID_nk,NumberOfCustomer,ProductID_NK,ProductLine,UnitPrice,Quantity,Tax_5_percent,Total,gross_income,gross_margin_percentage,cogs,Rating,Branch,City,Gender,CustomerType,Payment,Date,Year,Month
1,750-67-8428,1,PID01,Health and beauty,74.69,7,26.1415,548.9715,26.1415,4.761904762,522.83,9.1,A,Yangon,F,Member,Ewallet,1/5/19 13:08,2019,1
2,123-19-1176,1,PID02,Electronic accessories,58.22,8,23.288,489.048,23.288,4.761904762,465.76,8.4,A,Yangon,M,Member,Ewallet,1/27/19 20:33,2019,1
3,355-53-5943,1,PID03,Home and lifestyle,68.84,6,20.652,433.692,20.652,4.761904762,413.04,5.8,A,Yangon,F,Member,Ewallet,2/25/19 14:36,2019,2
4,665-32-9167,1,PID04,Health and beauty,36.26,2,3.626,76.146,3.626,4.761904762,72.52,7.2,A,Yangon,F,Member,Credit card,1/10/19 17:15,2019,1
5,656-95-9349,1,PID05,Sports and travel,68.93,7,24.1255,506.6355,24.1255,4.761904762,482.51,4.6,A,Yangon,F,Member,Credit card,3/11/19 11:03,2019,3
6,549-59-1358,1,PID06,Electronic accessories,88.63,3,13.2945,279.1845,13.2945,4.761904762,265.89,6,A,Yangon,M,Member,Ewallet,3/2/19 17:36,2019,3
7,227-03-5010,1,PID07,Electronic accessories,52.59,8,21.036,441.756,21.036,4.761904762,420.72,8.5,A,Yangon,F,Member,Credit card,3/22/19 19:20,2019,3
8,129-29-8530,1,PID08,Home and lifestyle,62.62,5,15.655,328.755,15.655,4.761904762,313.1,7,A,Yangon,M,Member,Ewallet,3/10/19 19:15,2019,3
9,162-48-8011,1,PID09,Health and beauty,44.59,5,11.1475,234.0975,11.1475,4.761904762,222.95,8.5,A,Yangon,F,Member,Cash,2/10/19 15:10,2019,2
10,106-35-6779,1,PID10,Food and beverages,44.34,2,4.434,93.114,4.434,4.761904762,88.68,5.8,A,Yangon,M,Member,Cash,3/27/19 11:26,2019,3
11,589-02-8023,1,PID100,Fashion accessories,83.77,2,8.377,175.917,8.377,4.761904762,167.54,7,A,Yangon,M,Member,Credit card,1/15/19 10:54,2019,1
